"Process","PID","ProcessPath","State","Local","Remote","Flags"
,"1644",,"Listen","0.0.0.0:49665","0.0.0.0:0","LISTENING"
,"1760",,"Listen","0.0.0.0:49664","0.0.0.0:0","LISTENING"
,"0",,"TimeWait","192.168.1.254:49379","51.11.168.232:443","PUBLIC_REMOTE"
,"20124",,"Established","192.168.1.254:49375","20.190.151.67:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:49374","204.79.197.222:443","PUBLIC_REMOTE"
,"9052",,"Established","192.168.1.254:49247","52.182.143.215:443","PUBLIC_REMOTE"
,"0",,"TimeWait","192.168.1.254:49246","34.54.84.110:443","PUBLIC_REMOTE"
,"38096",,"Established","127.0.0.1:49244","127.0.0.1:58865",""
,"0",,"TimeWait","192.168.1.254:49242","13.107.5.93:443","PUBLIC_REMOTE"
,"40648",,"Established","192.168.1.254:49234","20.189.173.3:443","PUBLIC_REMOTE"
,"9328",,"Established","192.168.1.254:49233","172.178.160.22:443","PUBLIC_REMOTE"
,"23968",,"Listen","127.0.0.1:45623","0.0.0.0:0","LISTENING"
,"26332",,"Listen","127.0.0.1:41343","0.0.0.0:0","LISTENING"
,"33712",,"Listen","127.0.0.1:16494","0.0.0.0:0","LISTENING"
,"33712",,"Listen","127.0.0.1:15393","0.0.0.0:0","LISTENING"
,"33712",,"Listen","127.0.0.1:15292","0.0.0.0:0","LISTENING"
,"21608",,"Listen","127.0.0.1:11434","0.0.0.0:0","LISTENING"
,"560",,"Listen","127.0.0.1:9101","0.0.0.0:0","LISTENING"
,"9160",,"Listen","0.0.0.0:7070","0.0.0.0:0","LISTENING"
,"7524",,"Listen","0.0.0.0:5040","0.0.0.0:0","LISTENING"
,"9236",,"Listen","0.0.0.0:912","0.0.0.0:0","LISTENING"
,"9236",,"Listen","0.0.0.0:902","0.0.0.0:0","LISTENING"
,"4",,"Listen","192.168.192.1:139","0.0.0.0:0","LISTENING"
,"4",,"Listen","192.168.116.1:139","0.0.0.0:0","LISTENING"
,"4",,"Listen","192.168.1.254:139","0.0.0.0:0","LISTENING"
,"1000",,"Listen","0.0.0.0:135","0.0.0.0:0","LISTENING"
